date,temperature_2m_max,temperature_2m_mean,temperature_2m_min,wind_speed_10m_mean,relative_humidity_2m_mean,relative_humidity_2m_max,rain_sum,precipitation_sum,pressure_msl_mean,cloud_cover_mean
2015-02-15 00:00:00+00:00,30.606714,26.679586,24.85353,6.4691844,65.43615,,,0.0,1010.9478,32.698395
2015-02-16 00:00:00+00:00,31.659868,27.08289,23.557137,6.798138,65.35664,,,0.0,1009.9626,18.656807
2015-02-17 00:00:00+00:00,31.513014,27.186192,24.360744,7.836801,63.277153,,,0.0,1009.77734,36.615223
2015-02-18 00:00:00+00:00,31.316168,27.139496,24.764353,9.221239,59.197647,,,0.0,1010.0922,6.573635
2015-02-19 00:00:00+00:00,31.46932,26.842798,23.71796,7.415747,58.118145,,,0.0,1010.207,8.532047
2015-02-20 00:00:00+00:00,31.57247,27.096102,24.271568,8.790526,58.038647,,,0.0,1009.92175,63.490467
2015-02-21 00:00:00+00:00,26.575619,25.149408,24.625174,7.3527946,55.95915,,,0.0,1011.03656,97.44888
2015-02-22 00:00:00+00:00,29.07877,25.80271,24.528782,6.275998,56.87964,,,0.0,1010.85126,85.407295
2015-02-23 00:00:00+00:00,30.131918,26.256012,24.732388,8.680526,57.80014,,,0.0,1010.8661,89.36571
2015-02-24 00:00:00+00:00,31.53507,27.259317,25.335997,7.6075134,55.72064,,,0.0,1010.5809,67.32413
2015-02-25 00:00:00+00:00,32.18822,27.412619,23.989603,4.132693,60.641148,,,0.0,1010.7957,75.28253
2015-02-26 00:00:00+00:00,32.791367,27.91592,24.143213,3.0870526,64.561646,,,0.0,1010.9105,53.240955
2015-02-27 00:00:00+00:00,32.894524,28.219227,24.596819,5.124597,63.48214,,,0.0,1010.7253,52.199364
2015-02-28 00:00:00+00:00,32.997673,27.872528,24.650427,6.125267,55.40265,,,0.0,1010.3401,15.1577835
2015-03-01 00:00:00+00:00,32.95082,27.62583,23.454033,2.033784,62.323135,,,0.0,1010.45483,16.116196
2015-03-02 00:00:00+00:00,32.45397,27.779135,24.00764,6.07776,57.24364,,,0.0,1011.76965,43.07461
2015-03-03 00:00:00+00:00,33.007126,27.982437,25.061247,6.727209,51.164135,,,0.0,1011.68445,5.033024
2015-03-04 00:00:00+00:00,32.694622,27.723034,23.648676,5.0294466,54.07547,,,0.0,1011.688,8.896008
2015-03-05 00:00:00+00:00,32.887028,28.118958,24.440931,6.685368,52.9855,,,0.0,1010.98987,18.745361
2015-03-06 00:00:00+00:00,33.27943,28.264883,24.33319,5.3319244,52.895515,,,0.0,1009.6919,8.594715
2015-03-07 00:00:00+00:00,33.62184,28.260805,24.22545,3.986725,53.80555,,,0.0,1009.0939,4.4440727
2015-03-08 00:00:00+00:00,33.764244,28.456728,24.667707,3.6433508,63.715584,,,0.0,1009.09576,4.2934227
2015-03-09 00:00:00+00:00,34.30665,28.952654,25.359964,3.962463,63.625595,,,0.0,1008.9977,58.142773
